batch_size_frames,count,frequency,frequency_percent
118,1,2.1734405564e-05,0.00217344056
457,1,2.1734405564e-05,0.00217344056
460,3,6.5203216692e-05,0.00652032167
461,2,4.3468811128e-05,0.00434688111
462,11,0.000239078461204,0.0239078461
463,19,0.000412953705716,0.0412953706
464,19,0.000412953705716,0.0412953706
465,17,0.000369484894588,0.0369484895
466,19,0.000412953705716,0.0412953706
467,12,0.000260812866768,0.0260812867
468,14,0.000304281677896,0.0304281678
469,11,0.000239078461204,0.0239078461
470,6,0.000130406433384,0.0130406433
471,2,4.3468811128e-05,0.00434688111
472,2,4.3468811128e-05,0.00434688111
473,1,2.1734405564e-05,0.00217344056
474,1,2.1734405564e-05,0.00217344056
475,3,6.5203216692e-05,0.00652032167
476,4,8.6937622256e-05,0.00869376223
477,5,0.00010867202782,0.0108672028
478,17,0.000369484894588,0.0369484895
479,12,0.000260812866768,0.0260812867
480,22,0.000478156922408,0.0478156922
481,21,0.000456422516844,0.0456422517
482,17,0.000369484894588,0.0369484895
483,15,0.00032601608346,0.0326016083
484,8,0.000173875244512,0.0173875245
485,4,8.6937622256e-05,0.00869376223
486,10,0.00021734405564,0.0217344056
487,6,0.000130406433384,0.0130406433
488,10,0.00021734405564,0.0217344056
489,12,0.000260812866768,0.0260812867
490,11,0.000239078461204,0.0239078461
491,17,0.000369484894588,0.0369484895
492,15,0.00032601608346,0.0326016083
493,20,0.00043468811128,0.0434688111
494,16,0.000347750489024,0.0347750489
495,13,0.000282547272332,0.0282547272
496,18,0.000391219300152,0.03912193
497,20,0.00043468811128,0.0434688111
498,17,0.000369484894588,0.0369484895
499,13,0.000282547272332,0.0282547272
500,22,0.000478156922408,0.0478156922
501,19,0.000412953705716,0.0412953706
502,9,0.000195609650076,0.019560965
503,10,0.00021734405564,0.0217344056
504,15,0.00032601608346,0.0326016083
505,18,0.000391219300152,0.03912193
506,18,0.000391219300152,0.03912193
507,31,0.000673766572484,0.0673766572
508,24,0.000521625733536,0.0521625734
509,48,0.00104325146707,0.104325147
510,38,0.000825907411432,0.0825907411
511,40,0.00086937622256,0.0869376223
512,175,0.0038035209737,0.380352097
513,42,0.000912845033688,0.0912845034
514,15,0.00032601608346,0.0326016083
515,21,0.000456422516844,0.0456422517
516,25,0.0005433601391,0.0543360139
517,56,0.00121712671158,0.121712671
518,52,0.00113018908933,0.113018909
519,23,0.000499891327972,0.0499891328
520,5,0.00010867202782,0.0108672028
521,3,6.5203216692e-05,0.00652032167
522,2,4.3468811128e-05,0.00434688111
523,4,8.6937622256e-05,0.00869376223
524,8,0.000173875244512,0.0173875245
525,3,6.5203216692e-05,0.00652032167
526,6,0.000130406433384,0.0130406433
527,8,0.000173875244512,0.0173875245
528,10,0.00021734405564,0.0217344056
529,14,0.000304281677896,0.0304281678
530,17,0.000369484894588,0.0369484895
531,23,0.000499891327972,0.0499891328
532,30,0.00065203216692,0.0652032167
533,21,0.000456422516844,0.0456422517
534,34,0.000738969789176,0.0738969789
535,32,0.000695500978048,0.0695500978
536,33,0.000717235383612,0.0717235384
537,23,0.000499891327972,0.0499891328
538,24,0.000521625733536,0.0521625734
539,22,0.000478156922408,0.0478156922
540,18,0.000391219300152,0.03912193
541,15,0.00032601608346,0.0326016083
542,14,0.000304281677896,0.0304281678
543,18,0.000391219300152,0.03912193
544,18,0.000391219300152,0.03912193
545,17,0.000369484894588,0.0369484895
546,17,0.000369484894588,0.0369484895
547,22,0.000478156922408,0.0478156922
548,36,0.000782438600304,0.07824386
549,39,0.000847641816996,0.0847641817
550,45,0.00097804825038,0.097804825
551,60,0.00130406433384,0.130406433
552,63,0.00136926755053,0.136926755
553,76,0.00165181482286,0.165181482
554,90,0.00195609650076,0.19560965
555,97,0.00210823733971,0.210823734
556,91,0.00197783090632,0.197783091
557,95,0.00206476852858,0.206476853
558,106,0.00230384698978,0.230384699
559,112,0.00243425342317,0.243425342
560,119,0.00258639426212,0.258639426
561,99,0.00215170615084,0.215170615
562,83,0.00180395566181,0.180395566
563,84,0.00182569006738,0.182569007
564,79,0.00171701803956,0.171701804
565,75,0.0016300804173,0.163008042
566,72,0.00156487720061,0.15648772
567,70,0.00152140838948,0.152140839
568,621,0.0134970658552,1.34970659
569,56,0.00121712671158,0.121712671
570,88,0.00191262768963,0.191262769
571,128,0.00278200391219,0.278200391
572,66,0.00143447076722,0.143447077
573,76,0.00165181482286,0.165181482
574,118,0.00256465985655,0.256465986
575,126,0.00273853510106,0.27385351
576,99,0.00215170615084,0.215170615
577,100,0.0021734405564,0.217344056
578,99,0.00215170615084,0.215170615
579,104,0.00226037817866,0.226037818
580,93,0.00202129971745,0.202129972
581,122,0.00265159747881,0.265159748
582,127,0.00276026950663,0.276026951
583,145,0.00315148880678,0.315148881
584,144,0.00312975440122,0.31297544
585,137,0.00297761356227,0.297761356
586,160,0.00347750489024,0.347750489
587,199,0.00432514670724,0.432514671
588,238,0.00517278852423,0.517278852
589,248,0.00539013257987,0.539013258
590,317,0.00688980656379,0.688980656
591,366,0.00795479243643,0.795479244
592,388,0.00843294935884,0.843294936
593,397,0.00862855900891,0.862855901
594,440,0.00956313844816,0.956313845
595,443,0.00962834166486,0.962834166
596,484,0.010519452293,1.05194523
597,451,0.00980221690937,0.980221691
598,448,0.00973701369268,0.973701369
599,449,0.00975874809824,0.97587481
600,461,0.010019560965,1.0019561
601,453,0.0098456857205,0.984568572
602,449,0.00975874809824,0.97587481
603,429,0.00932405998696,0.932405999
604,420,0.00912845033688,0.912845034
605,397,0.00862855900891,0.862855901
606,300,0.0065203216692,0.652032167
607,329,0.00715061943056,0.715061943
608,276,0.00599869593567,0.599869594
609,231,0.00502064768529,0.502064769
610,186,0.00404259943491,0.404259943
611,169,0.00367311454032,0.367311454
612,166,0.00360791132363,0.360791132
613,150,0.0032601608346,0.326016083
614,154,0.00334709845686,0.334709846
615,158,0.00343403607911,0.343403608
616,151,0.00328189524017,0.328189524
617,163,0.00354270810693,0.354270811
618,178,0.00386872419039,0.386872419
619,166,0.00360791132363,0.360791132
620,188,0.00408606824603,0.408606825
621,198,0.00430341230167,0.43034123
622,203,0.00441208432949,0.441208433
623,163,0.00354270810693,0.354270811
624,162,0.00352097370137,0.35209737
625,127,0.00276026950663,0.276026951
626,139,0.0030210823734,0.302108237
627,102,0.00221690936753,0.221690937
628,107,0.00232558139535,0.23255814
629,110,0.00239078461204,0.239078461
630,112,0.00243425342317,0.243425342
631,120,0.00260812866768,0.260812867
632,122,0.00265159747881,0.265159748
633,126,0.00273853510106,0.27385351
634,118,0.00256465985655,0.256465986
635,95,0.00206476852858,0.206476853
636,85,0.00184742447294,0.184742447
637,70,0.00152140838948,0.152140839
638,66,0.00143447076722,0.143447077
639,68,0.00147793957835,0.147793958
640,85,0.00184742447294,0.184742447
641,62,0.00134753314497,0.134753314
642,45,0.00097804825038,0.097804825
643,48,0.00104325146707,0.104325147
644,38,0.000825907411432,0.0825907411
645,45,0.00097804825038,0.097804825
646,44,0.000956313844816,0.0956313845
647,33,0.000717235383612,0.0717235384
648,23,0.000499891327972,0.0499891328
649,29,0.000630297761356,0.0630297761
650,30,0.00065203216692,0.0652032167
651,40,0.00086937622256,0.0869376223
652,35,0.00076070419474,0.0760704195
653,29,0.000630297761356,0.0630297761
654,37,0.000804173005868,0.0804173006
655,30,0.00065203216692,0.0652032167
656,44,0.000956313844816,0.0956313845
657,49,0.00106498587264,0.106498587
658,49,0.00106498587264,0.106498587
659,47,0.00102151706151,0.102151706
660,72,0.00156487720061,0.15648772
661,93,0.00202129971745,0.202129972
662,111,0.0024125190176,0.241251902
663,126,0.00273853510106,0.27385351
664,97,0.00210823733971,0.210823734
665,109,0.00236905020648,0.236905021
666,108,0.00234731580091,0.23473158
667,104,0.00226037817866,0.226037818
668,97,0.00210823733971,0.210823734
669,93,0.00202129971745,0.202129972
670,64,0.0013910019561,0.139100196
671,45,0.00097804825038,0.097804825
672,60,0.00130406433384,0.130406433
673,57,0.00123886111715,0.123886112
674,75,0.0016300804173,0.163008042
675,83,0.00180395566181,0.180395566
676,124,0.00269506628994,0.269506629
677,155,0.00336883286242,0.336883286
678,184,0.00399913062378,0.399913062
679,244,0.00530319495762,0.530319496
680,197,0.00428167789611,0.42816779
681,230,0.00499891327972,0.499891328
682,751,0.0163225385786,1.63225386
683,43,0.000934579439252,0.0934579439
684,11,0.000239078461204,0.0239078461
685,10,0.00021734405564,0.0217344056
686,23,0.000499891327972,0.0499891328
687,25,0.0005433601391,0.0543360139
688,20,0.00043468811128,0.0434688111
689,5,0.00010867202782,0.0108672028
690,2,4.3468811128e-05,0.00434688111
693,1,2.1734405564e-05,0.00217344056
729,1,2.1734405564e-05,0.00217344056
766,1,2.1734405564e-05,0.00217344056
770,1,2.1734405564e-05,0.00217344056
781,2,4.3468811128e-05,0.00434688111
786,2,4.3468811128e-05,0.00434688111
790,1,2.1734405564e-05,0.00217344056
794,1,2.1734405564e-05,0.00217344056
802,1,2.1734405564e-05,0.00217344056
813,1,2.1734405564e-05,0.00217344056
815,1,2.1734405564e-05,0.00217344056
826,1,2.1734405564e-05,0.00217344056
831,1,2.1734405564e-05,0.00217344056
835,1,2.1734405564e-05,0.00217344056
840,1,2.1734405564e-05,0.00217344056
850,1,2.1734405564e-05,0.00217344056
856,2,4.3468811128e-05,0.00434688111
868,1,2.1734405564e-05,0.00217344056
874,1,2.1734405564e-05,0.00217344056
891,2,4.3468811128e-05,0.00434688111
896,1,2.1734405564e-05,0.00217344056
897,1,2.1734405564e-05,0.00217344056
905,1,2.1734405564e-05,0.00217344056
913,1,2.1734405564e-05,0.00217344056
924,1,2.1734405564e-05,0.00217344056
936,1,2.1734405564e-05,0.00217344056
940,1,2.1734405564e-05,0.00217344056
942,1,2.1734405564e-05,0.00217344056
947,1,2.1734405564e-05,0.00217344056
977,1,2.1734405564e-05,0.00217344056
986,1,2.1734405564e-05,0.00217344056
1004,2,4.3468811128e-05,0.00434688111
1013,1,2.1734405564e-05,0.00217344056
1014,1,2.1734405564e-05,0.00217344056
1017,1,2.1734405564e-05,0.00217344056
1066,1,2.1734405564e-05,0.00217344056
1077,1,2.1734405564e-05,0.00217344056
1091,1,2.1734405564e-05,0.00217344056
1100,1,2.1734405564e-05,0.00217344056
1115,1,2.1734405564e-05,0.00217344056
1132,1,2.1734405564e-05,0.00217344056
1136,1,2.1734405564e-05,0.00217344056
1139,1,2.1734405564e-05,0.00217344056
1146,1,2.1734405564e-05,0.00217344056
1150,1,2.1734405564e-05,0.00217344056
1151,1,2.1734405564e-05,0.00217344056
1156,2,4.3468811128e-05,0.00434688111
1159,1,2.1734405564e-05,0.00217344056
1178,1,2.1734405564e-05,0.00217344056
1190,1,2.1734405564e-05,0.00217344056
1194,2,4.3468811128e-05,0.00434688111
1197,1,2.1734405564e-05,0.00217344056
1198,2,4.3468811128e-05,0.00434688111
1201,2,4.3468811128e-05,0.00434688111
1206,1,2.1734405564e-05,0.00217344056
1208,1,2.1734405564e-05,0.00217344056
1209,1,2.1734405564e-05,0.00217344056
1210,1,2.1734405564e-05,0.00217344056
1211,1,2.1734405564e-05,0.00217344056
1214,1,2.1734405564e-05,0.00217344056
1217,1,2.1734405564e-05,0.00217344056
1218,2,4.3468811128e-05,0.00434688111
1219,1,2.1734405564e-05,0.00217344056
1221,2,4.3468811128e-05,0.00434688111
1222,1,2.1734405564e-05,0.00217344056
1223,1,2.1734405564e-05,0.00217344056
1224,1,2.1734405564e-05,0.00217344056
1226,1,2.1734405564e-05,0.00217344056
1229,2,4.3468811128e-05,0.00434688111
1230,2,4.3468811128e-05,0.00434688111
1233,1,2.1734405564e-05,0.00217344056
1234,1,2.1734405564e-05,0.00217344056
1235,3,6.5203216692e-05,0.00652032167
1236,1,2.1734405564e-05,0.00217344056
1238,2,4.3468811128e-05,0.00434688111
1240,1,2.1734405564e-05,0.00217344056
1241,1,2.1734405564e-05,0.00217344056
1242,1,2.1734405564e-05,0.00217344056
1243,2,4.3468811128e-05,0.00434688111
1244,1,2.1734405564e-05,0.00217344056
1246,4,8.6937622256e-05,0.00869376223
1247,1,2.1734405564e-05,0.00217344056
1249,1,2.1734405564e-05,0.00217344056
1251,3,6.5203216692e-05,0.00652032167
1253,1,2.1734405564e-05,0.00217344056
1254,1,2.1734405564e-05,0.00217344056
1256,2,4.3468811128e-05,0.00434688111
1257,3,6.5203216692e-05,0.00652032167
1258,1,2.1734405564e-05,0.00217344056
1264,1,2.1734405564e-05,0.00217344056
1265,1,2.1734405564e-05,0.00217344056
1267,2,4.3468811128e-05,0.00434688111
1270,2,4.3468811128e-05,0.00434688111
1271,2,4.3468811128e-05,0.00434688111
1273,2,4.3468811128e-05,0.00434688111
1274,2,4.3468811128e-05,0.00434688111
1278,1,2.1734405564e-05,0.00217344056
1279,4,8.6937622256e-05,0.00869376223
1281,1,2.1734405564e-05,0.00217344056
1282,1,2.1734405564e-05,0.00217344056
1284,3,6.5203216692e-05,0.00652032167
1285,2,4.3468811128e-05,0.00434688111
1286,1,2.1734405564e-05,0.00217344056
1288,1,2.1734405564e-05,0.00217344056
1289,3,6.5203216692e-05,0.00652032167
1291,1,2.1734405564e-05,0.00217344056
1292,2,4.3468811128e-05,0.00434688111
1294,1,2.1734405564e-05,0.00217344056
1295,1,2.1734405564e-05,0.00217344056
1297,3,6.5203216692e-05,0.00652032167
1299,2,4.3468811128e-05,0.00434688111
1302,1,2.1734405564e-05,0.00217344056
1303,1,2.1734405564e-05,0.00217344056
1305,1,2.1734405564e-05,0.00217344056
1306,3,6.5203216692e-05,0.00652032167
1307,2,4.3468811128e-05,0.00434688111
1311,1,2.1734405564e-05,0.00217344056
1314,1,2.1734405564e-05,0.00217344056
1315,2,4.3468811128e-05,0.00434688111
1316,1,2.1734405564e-05,0.00217344056
1318,4,8.6937622256e-05,0.00869376223
1320,1,2.1734405564e-05,0.00217344056
1322,3,6.5203216692e-05,0.00652032167
1323,1,2.1734405564e-05,0.00217344056
1325,2,4.3468811128e-05,0.00434688111
1327,1,2.1734405564e-05,0.00217344056
1328,2,4.3468811128e-05,0.00434688111
1330,1,2.1734405564e-05,0.00217344056
1331,3,6.5203216692e-05,0.00652032167
1332,2,4.3468811128e-05,0.00434688111
1334,2,4.3468811128e-05,0.00434688111
1335,1,2.1734405564e-05,0.00217344056
1337,1,2.1734405564e-05,0.00217344056
1338,3,6.5203216692e-05,0.00652032167
1340,2,4.3468811128e-05,0.00434688111
1342,2,4.3468811128e-05,0.00434688111
1343,2,4.3468811128e-05,0.00434688111
1345,2,4.3468811128e-05,0.00434688111
1348,1,2.1734405564e-05,0.00217344056
1349,3,6.5203216692e-05,0.00652032167
1350,1,2.1734405564e-05,0.00217344056
1352,3,6.5203216692e-05,0.00652032167
1353,4,8.6937622256e-05,0.00869376223
1354,4,8.6937622256e-05,0.00869376223
1356,2,4.3468811128e-05,0.00434688111
1357,4,8.6937622256e-05,0.00869376223
1358,5,0.00010867202782,0.0108672028
1359,2,4.3468811128e-05,0.00434688111
